name,date,lsp_name,lsp_type,orbit,location,pad_name,Latitude,Longitude,location_launch_attempt_count,pad_launch_attempt_count,agency_launch_attempt_count,location_launch_attempt_count_year,pad_launch_attempt_count_year,agency_launch_attempt_count_year,image,landing,mission_type
Soyuz 2.1b | Kosmos 2572 (Razdan No. 1?),2023-11-25,Russian Space Forces,Government,PO,"Plesetsk Cosmodrome, Russian Federation",43/4 (43R),62.92883,40.457098,1664,316,135,5,2,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b_image_20230802085331.jpg,,Government/Top Secret
Long March 2D/YZ-3 | 3 x SatNet test satellites,2023-11-23,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,196,85,446,13,7,40,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_2d2_image_20231123203521.jpeg,,Communications
Falcon 9 Block 5 | Starlink Group 6-29,2023-11-22,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,921,212,301,53,49,88,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230728070724.png,ASOG,Communications
Chollima-1 | Malligyong-1c,2023-11-21,National Aerospace Development Administration,Government,SSO,"Sohae Satellite Launching Station,  Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",Malligyong-1 Pad,39.652861,124.736639,6,3,4,3,3,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/chollima-1_image_20231122100257.jpeg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 7-7,2023-11-20,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,735,125,300,26,25,87,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230727063347.png,OCISLY,Communications
Falcon 9 Block 5 | Starlink Group 6-28,2023-11-18,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,920,211,298,52,48,85,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230728065759.png,JRTI,Communications
Long March 2C/YZ-1S | Haiyang 3-01,2023-11-16,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,210,109,445,28,13,39,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231116083954.jpg,,Earth Science
Falcon 9 Block 5 | O3b mPower 5 & 6,2023-11-12,SpaceX,Commercial,MEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,919,210,297,51,47,84,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20231113051301.jpeg,ASOG,Communications
Falcon 9 Block 5 | Transporter 9 (Dedicated SSO Rideshare),2023-11-11,SpaceX,Commercial,SSO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,734,124,296,25,24,83,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20231112140404.jpeg,LZ-4,Dedicated Rideshare
Falcon 9 Block 5 | Dragon CRS-2 SpX-29,2023-11-10,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,225,167,295,12,12,82,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20231108230257.jpeg,LZ-1,Resupply
Long March 3B/E | ChinaSat 6E,2023-11-09,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,195,106,444,12,5,38,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231109195757.jpeg,,Communications
Falcon 9 Block 5 | Starlink Group 6-27,2023-11-08,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,918,209,294,50,46,81,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230622063448.png,JRTI,Communications
